uno;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos;dos
16836;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8258;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16837;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8259;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16838;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;8260;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;50000
16839;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8261;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16840;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8262;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16841;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;8263;26;30000;2;yes;0;%;Villanueva;Television;10Megas;no;2;no;Activo;0;0
16842;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8264;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16843;05/02/2021;28/02/2021;106008;0;0;3992;110000;;;due;8265;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;55000
16844;05/02/2021;28/02/2021;63008;0;0;3992;67000;;;due;8266;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;12000
16845;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8267;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16846;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8268;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16847;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8269;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16848;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8270;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
16849;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8271;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16850;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8272;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16851;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8273;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16852;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8274;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16853;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8275;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16854;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8276;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16855;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;8277;26;25000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16856;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8278;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16857;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8279;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16858;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8280;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16859;05/02/2021;28/02/2021;43338;0;0;3992;47330;;;due;8281;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;22330
16860;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8282;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16861;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8283;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16862;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8284;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16863;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8285;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16864;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8286;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16865;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8287;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16866;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8288;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16867;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8289;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16868;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8290;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16869;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8291;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16870;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8292;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16871;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8293;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16872;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8294;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16873;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8295;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16874;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8296;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16875;05/02/2021;28/02/2021;63008;0;0;3992;67000;;;due;8297;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;12000
16876;05/02/2021;28/02/2021;106008;0;0;3992;110000;;;due;8298;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;55000
16877;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8299;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16878;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8300;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16879;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8301;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16880;05/02/2021;28/02/2021;31008;0;0;3992;35000;;;due;8302;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;10000
16881;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8303;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16882;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8304;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16883;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8305;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16884;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8306;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16885;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8307;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16886;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8308;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16887;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8309;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16888;05/02/2021;28/02/2021;248492;0;0;3992;252484;;;due;8310;26;;3;yes;0;%;Villanueva;Television;no;16;0;no;Activo;0;147484
16889;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8311;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16890;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8312;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16891;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8313;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16892;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8314;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16893;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8315;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;20000
16894;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8316;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16895;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8317;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16896;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8318;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16897;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8319;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16898;05/02/2021;28/02/2021;296008;0;0;3992;300000;;;due;8320;26;;;;0;%;Villanueva;;;;0;no;Activo;0;150000
16899;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8321;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16900;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8322;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16901;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8323;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16902;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8324;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16903;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8325;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16904;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8326;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16905;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8327;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16906;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8328;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16907;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;8329;26;25000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16908;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8330;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16909;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8331;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16910;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8332;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16911;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8333;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16912;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8334;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16913;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8335;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16914;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8336;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16915;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8337;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16916;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8338;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16917;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8339;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16918;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8340;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16919;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8341;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16920;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8342;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16921;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8343;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16922;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8344;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16923;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;8345;26;5000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16924;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8346;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16925;05/02/2021;28/02/2021;38653;0;0;3992;42645;;;due;8347;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;17645
16926;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8348;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;25000
16927;05/02/2021;28/02/2021;126008;0;0;3992;130000;;;due;8349;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;75000
16928;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8350;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16929;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8351;26;20000;3;yes;0;%;Villanueva;Television;3Megas;no;2;no;Activo;0;0
16930;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8352;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16931;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8353;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
16932;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8354;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16933;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8355;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16934;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8356;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16935;05/02/2021;28/02/2021;106008;0;0;3992;110000;;;due;8357;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;55000
16936;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8358;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16937;05/02/2021;28/02/2021;46008;0;0;3992;50000;Cash;;partial;8359;26;5000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16938;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8360;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16939;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8361;26;20000;3;yes;0;%;Villanueva;Television;3Megas;no;2;no;Activo;0;0
16940;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8362;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16941;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8363;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16942;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8364;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16943;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8365;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16944;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8366;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16945;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8367;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16946;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8368;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16947;05/02/2021;28/02/2021;36008;0;0;3992;40000;;;due;8369;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;15000
16948;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8370;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16949;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8371;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16950;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8372;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16951;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8373;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16952;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8374;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16953;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8375;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16954;05/02/2021;28/02/2021;77943;0;0;3992;81935;;;due;8376;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;26935
16955;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8377;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16956;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8378;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16957;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8379;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16958;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8380;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16959;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8381;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16960;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8382;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16961;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8383;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16962;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8384;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16963;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8385;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16964;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8386;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16965;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8387;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16966;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8388;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16967;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8389;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16968;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8390;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16969;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;8391;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;20000
16970;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8392;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16971;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8393;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16972;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8394;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16973;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8395;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16974;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8396;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16975;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;8397;26;25000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16976;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8398;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16977;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8399;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16978;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;8400;26;25000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16979;05/02/2021;28/02/2021;63008;0;0;3992;67000;;;due;8401;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;12000
16980;05/02/2021;28/02/2021;31804;0;0;3992;35796;;;due;8402;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;10796
16981;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;8403;26;25000;1;yes;0;%;Villanueva;Television;no;no;2;no;Activo;0;0
16982;05/02/2021;28/02/2021;53008;0;0;3992;57000;;;due;8404;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;2000
16983;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8405;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16984;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8406;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
16985;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8407;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16986;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8408;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16987;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8409;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16988;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8410;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16989;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8411;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16990;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8412;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16991;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8413;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16992;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8414;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16993;05/02/2021;28/02/2021;63008;0;0;3992;67000;;;due;8415;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;12000
16994;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8416;26;;3;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;25000
16995;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8417;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
16996;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8418;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
16997;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8419;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
16998;05/02/2021;28/02/2021;41782;0;0;3992;45774;Cash;;partial;8420;26;9226;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
16999;05/02/2021;28/02/2021;71698;0;0;3992;75690;;;due;8421;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;50690
17000;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8422;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
17001;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8423;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17002;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8424;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17003;05/02/2021;28/02/2021;21008;0;0;3992;25000;Cash;;partial;8425;26;30000;2;yes;0;%;Villanueva;Television;5Megas;no;2;no;Activo;0;0
17004;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;8426;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;25000
17005;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8427;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
17006;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8428;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
17007;05/02/2021;28/02/2021;41008;0;0;3992;45000;;;due;8429;26;;2;yes;0;%;Villanueva;Television;3Megas;no;0;no;Activo;0;0
17008;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8430;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17009;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8431;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17010;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8432;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
17011;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8433;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17012;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8434;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17013;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8435;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
17014;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8436;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
17015;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;8437;26;;2;yes;0;%;Villanueva;Television;5Megas;no;0;no;Activo;0;0
17016;05/02/2021;28/02/2021;21008;0;0;3992;25000;;;due;8438;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Activo;0;0
17017;05/02/2021;28/02/2021;76008;0;0;3992;80000;;;due;8439;26;;2;yes;0;%;Villanueva;Television;10Megas;no;0;no;Activo;0;0
